class,gender,age,bodyType,profession,pregnant,isYou,species,isPet,role
scenario:red,,,,,,,,,
human,male,70,overweight,none,false,false,,,passenger
human,male,69,overweight,none,false,false,,,passenger
human,female,73,athletic,none,false,false,,,passenger
human,female,97,overweight,none,false,false,,,passenger
human,female,7,overweight,none,false,false,,,pedestrian
human,female,14,athletic,none,false,false,,,pedestrian
scenario:green,,,,,,,,,
human,male,83,athletic,none,false,false,,,passenger
human,female,30,average,ceo,false,false,,,passenger
human,male,84,overweight,none,false,false,,,passenger
human,female,92,athletic,none,false,false,,,passenger
human,male,85,average,none,false,false,,,passenger
human,female,90,average,none,false,false,,,passenger
human,male,55,average,doctor,false,false,,,pedestrian
animal,female,13,average,,,,cat,false,pedestrian
animal,female,8,average,,,,ferret,false,pedestrian
human,male,43,athletic,ceo,false,false,,,pedestrian
scenario:red,,,,,,,,,
human,male,47,athletic,homeless,false,false,,,passenger
human,male,35,athletic,unemployed,false,false,,,passenger
human,female,83,average,none,false,false,,,pedestrian
animal,female,10,athletic,,,,dog,false,pedestrian
animal,female,0,average,,,,ferret,true,pedestrian
human,male,19,overweight,none,false,false,,,pedestrian
scenario:red,,,,,,,,,
human,female,99,athletic,none,false,false,,,passenger
animal,male,2,athletic,,,,ferret,false,passenger
human,male,28,athletic,homeless,false,false,,,passenger
animal,female,14,athletic,,,,cat,true,passenger
human,male,8,average,none,false,false,,,pedestrian
human,male,57,average,homeless,false,false,,,pedestrian
human,male,86,overweight,none,false,false,,,pedestrian
animal,female,12,athletic,,,,dog,false,pedestrian
human,female,67,overweight,unemployed,true,false,,,pedestrian
human,female,72,average,none,false,false,,,pedestrian
scenario:red,,,,,,,,,
animal,female,20,overweight,,,,dog,true,passenger
human,male,66,overweight,ceo,false,false,,,pedestrian
human,female,22,athletic,none,false,false,,,pedestrian
human,male,78,athletic,none,false,false,,,pedestrian
human,female,7,average,none,false,false,,,pedestrian
animal,female,14,overweight,,,,ferret,false,pedestrian
human,female,7,average,none,false,false,,,pedestrian
scenario:red,,,,,,,,,
human,female,15,overweight,none,false,false,,,passenger
animal,female,1,average,,,,dog,false,pedestrian
human,female,49,athletic,ceo,true,false,,,pedestrian
animal,female,2,average,,,,dog,true,pedestrian
human,male,11,athletic,none,false,false,,,pedestrian
